origin_position_11,destination_position_11,n_passes,window,pattern_name
LCB,GK,31,to_40,interior_exterior_same_side
GK,LCB,28,to_40,interior_exterior_opposite_side
RCB,RB,25,to_40,interior_exterior_same_side
RCB,GK,25,to_40,interior_exterior_same_side
GK,LCB,24,to_40,center_exit_pattern
GK,RCB,21,to_40,interior_exterior_opposite_side
LCB,DM,19,to_40,interior_exterior_same_side
LCB,GK,17,to_40,other_pattern
GK,RCB,17,to_40,switch_of_play
LCB,DM,15,to_40,center_exit_pattern
LB,LW,14,to_40,interior_exterior_same_side
LCB,LB,14,to_40,interior_exterior_opposite_side
LCB,RCB,14,to_40,interior_exterior_opposite_side
GK,DM,14,to_40,interior_exterior_same_side
GK,LCB,14,to_40,switch_of_play
LCB,LB,13,to_40,switch_of_play
GK,LB,12,to_40,outer_inner_exit
RB,RW,12,to_40,interior_exterior_same_side
DM,LB,12,to_40,interior_exterior_same_side
RCB,GK,11,to_40,other_pattern
GK,RCB,11,to_40,center_exit_pattern
LCB,RCB,11,to_40,interior_exterior_same_side
RCB,GK,11,to_40,switch_of_play
RCB,GK,11,to_40,interior_exterior_opposite_side
LCB,RCB,10,to_40,center_exit_pattern
RCB,DM,10,to_40,center_exit_pattern
RCB,RB,10,to_40,interior_exterior_opposite_side
LCB,GK,10,to_40,interior_exterior_opposite_side
RCB,RB,10,to_40,switch_of_play
GK,LB,10,to_40,other_pattern
GK,RB,10,to_40,outer_inner_exit
LCB,GK,10,to_40,switch_of_play
RCB,LCB,9,to_40,center_exit_pattern
RCB,LCB,9,to_40,interior_exterior_opposite_side
RCB,GK,9,to_40,center_exit_pattern
LCB,GK,9,to_40,center_exit_pattern
LB,LW,9,to_40,outer_inner_exit
GK,LCB,8,to_40,other_pattern
RCB,AM,8,to_40,interior_exterior_same_side
DM,AM,8,to_40,interior_exterior_same_side
RCB,LCB,7,to_40,interior_exterior_same_side
DM,RCB,7,to_40,center_exit_pattern
RB,RCB,7,to_40,switch_of_play
RCB,LCB,7,to_40,switch_of_play
LCB,LB,7,to_40,outer_inner_exit
RCB,DM,7,to_40,interior_exterior_same_side
DM,LW,6,to_40,interior_exterior_same_side
LB,GK,6,to_40,switch_of_play
LB,LW,6,to_40,other_pattern
RB,RW,6,to_40,outer_inner_exit
LCB,DM,6,to_40,switch_of_play
LB,DM,6,to_40,interior_exterior_same_side
RCB,DM,6,to_40,interior_exterior_opposite_side
GK,RCB,6,to_40,other_pattern
RCB,RB,5,to_40,outer_inner_exit
GK,DM,5,to_40,center_exit_pattern
GK,RB,5,to_40,interior_exterior_opposite_side
GK,LB,5,to_40,switch_of_play
LB,LW,5,to_40,switch_of_play
DM,LCB,5,to_40,switch_of_play
LCB,LW,5,to_40,interior_exterior_same_side
RW,AM,5,to_40,interior_exterior_same_side
LCB,DM,5,to_40,interior_exterior_opposite_side
LB,DM,5,to_40,outer_inner_exit
AM,RW,5,to_40,interior_exterior_same_side
RB,AM,5,to_40,interior_exterior_same_side
RCB,LW,5,to_40,interior_exterior_opposite_side
DM,LCB,5,to_40,interior_exterior_same_side
LCB,DM,4,to_40,other_pattern
DM,AM,4,to_40,center_exit_pattern
GK,RCB,4,to_40,outer_inner_exit
LB,LCB,4,to_40,outer_inner_exit
GK,RB,4,to_40,interior_exterior_same_side
RB,RCB,4,to_40,interior_exterior_opposite_side
LB,LCB,4,to_40,interior_exterior_opposite_side
RCB,AM,4,to_40,center_exit_pattern
LCB,RCB,4,to_40,switch_of_play
RCB,LCB,4,to_40,other_pattern
LB,CF,4,to_40,interior_exterior_same_side
RB,RCB,4,to_40,outer_inner_exit
RB,RW,4,to_40,interior_exterior_opposite_side
GK,DM,4,to_40,switch_of_play
LB,LCB,4,to_40,interior_exterior_same_side
DM,GK,4,to_40,interior_exterior_opposite_side
LB,LW,4,to_40,interior_exterior_opposite_side
DM,RB,4,to_40,interior_exterior_same_side
GK,LCB,4,to_40,outer_inner_exit
AM,RB,4,to_40,interior_exterior_same_side
LCB,GK,4,to_40,outer_inner_exit
GK,RB,4,to_40,other_pattern
AM,DM,3,to_40,center_exit_pattern
LCB,CF,3,to_40,center_exit_pattern
LW,DM,3,to_40,interior_exterior_same_side
RCB,LB,3,to_40,interior_exterior_opposite_side
RCB,DM,3,to_40,outer_inner_exit
DM,RW,3,to_40,interior_exterior_same_side
LW,DM,3,to_40,switch_of_play
RCB,AM,3,to_40,switch_of_play
LCB,LB,3,to_40,other_pattern
CF,DM,3,to_40,center_exit_pattern
GK,DM,3,to_40,other_pattern
RB,CF,3,to_40,outer_inner_exit
CF,LW,3,to_40,interior_exterior_same_side
RB,RW,3,to_40,switch_of_play
RB,AM,3,to_40,interior_exterior_opposite_side
DM,RB,3,to_40,interior_exterior_opposite_side
DM,RB,3,to_40,switch_of_play
DM,LCB,3,to_40,interior_exterior_opposite_side
DM,CF,3,to_40,center_exit_pattern
RCB,RW,3,to_40,center_exit_pattern
RCB,CF,3,to_40,interior_exterior_opposite_side
RCB,CF,3,to_40,interior_exterior_same_side
RW,RB,3,to_40,interior_exterior_same_side
LCB,LW,3,to_40,outer_inner_exit
DM,GK,3,to_40,interior_exterior_same_side
LW,DM,3,to_40,outer_inner_exit
LCB,DM,3,to_40,outer_inner_exit
LB,LCB,3,to_40,switch_of_play
DM,DM,2,to_40,other_pattern
GK,AM,2,to_40,outer_inner_exit
RW,AM,2,to_40,center_exit_pattern
RCB,RW,2,to_40,interior_exterior_opposite_side
RCB,CM,2,to_40,interior_exterior_same_side
LCB,CM,2,to_40,center_exit_pattern
LCB,CF,2,to_40,interior_exterior_opposite_side
GK,DM,2,to_40,outer_inner_exit
DM,RCB,2,to_40,outer_inner_exit
AM,RB,2,to_40,switch_of_play
GK,RB,2,to_40,center_exit_pattern
DM,LCB,2,to_40,other_pattern
LCB,CF,2,to_40,other_pattern
RCB,RW,2,to_40,outer_inner_exit
RW,AM,2,to_40,outer_inner_exit
LB,CF,2,to_40,other_pattern
CF,LW,2,to_40,other_pattern
DM,LW,2,to_40,center_exit_pattern
