match_id,possession,team,period,action_number,event_id,index,minute,second,duration,player,player_id,position,type,location,location_x,location_y,pass_end_location,carry_end_location,pass_length,pass_angle,pass_height,pass_type,pass_outcome,pass_recipient,play_pattern,end_x,end_y,under_pressure_flag,outcome_label_x,outcome_label_y,reached_40_flag,reached_60_flag,analysis_end_action_number_to_40,analysis_end_action_number_to_60,big_pattern_to_40_id,big_pattern_to_40_name,big_pattern_to_60_id,big_pattern_to_60_name,first_3_relation_id,first_3_relation_name,position_11,is_in_to_40_window,is_in_to_60_window
4005039,20,Famalicão,1,13,09ee47e7-2d49-5e73-87ef-298e7fde70c2,286,7,13,1.244,Gustavo Filipe Alves Freitas Azevedo Sá,299291.0,Center Attacking Midfield,Carry,"[67.5, 50.4]",67.5,50.4,,"[70.0, 53.3]",,,,,,,From Goal Kick,70.0,53.3,False,success_total,success_total,1,1,10,14,6,other_pattern,3,switch_of_play,1,GR-CB's,AM,0,1
4005039,20,Famalicão,1,14,ee296316-9589-5a76-afba-4d4f87ddb850,287,7,15,1.777,Gustavo Filipe Alves Freitas Azevedo Sá,299291.0,Center Attacking Midfield,Pass,"[70.0, 53.3]",70.0,53.3,"[92.5, 75.2]",,31.4,0.771885,Ground Pass,,,Gil Bastião Dias,From Goal Kick,92.5,75.2,False,success_total,success_total,1,1,10,14,6,other_pattern,3,switch_of_play,1,GR-CB's,AM,0,1
4005039,20,Famalicão,1,15,9007c148-9f51-5e3f-be1d-cfa1ccf3f735,289,7,17,3.656,Gil Bastião Dias,4399.0,Right Wing,Carry,"[92.5, 75.2]",92.5,75.2,,"[88.2, 52.6]",,,,,,,From Goal Kick,88.2,52.6,True,success_total,success_total,1,1,10,14,6,other_pattern,3,switch_of_play,1,GR-CB's,RW,0,0
4005039,20,Famalicão,1,16,16653966-9335-5c92-a115-8b30155ad1af,291,7,20,0.906,Gil Bastião Dias,4399.0,Right Wing,Pass,"[88.2, 52.6]",88.2,52.6,"[84.2, 41.1]",,12.18,-1.905533,Ground Pass,,,Tom van de Looi,From Goal Kick,84.2,41.1,True,success_total,success_total,1,1,10,14,6,other_pattern,3,switch_of_play,1,GR-CB's,RW,0,0
4005039,20,Famalicão,1,17,5b43d150-eacf-5b3e-9d55-e41834a8ae95,293,7,21,0.914,Tom van de Looi,15541.0,Right Defensive Midfield,Carry,"[84.2, 41.1]",84.2,41.1,,"[84.0, 37.1]",,,,,,,From Goal Kick,84.0,37.1,False,success_total,success_total,1,1,10,14,6,other_pattern,3,switch_of_play,1,GR-CB's,DM,0,0
4005039,20,Famalicão,1,18,d6fc0c83-8fe8-57b2-b11a-494e4c6bbb61,294,7,22,1.473,Tom van de Looi,15541.0,Right Defensive Midfield,Pass,"[84.0, 37.1]",84.0,37.1,"[95.9, 9.7]",,29.87,-1.161069,Ground Pass,,,Marcos Vinicios Lopes Moura,From Goal Kick,95.9,9.7,False,success_total,success_total,1,1,10,14,6,other_pattern,3,switch_of_play,1,GR-CB's,DM,0,0
4005039,20,Famalicão,1,19,3156c24f-c93b-540c-aa06-9a7e9d6345fc,296,7,23,2.588,Marcos Vinicios Lopes Moura,122892.0,Left Wing,Carry,"[95.9, 9.7]",95.9,9.7,,"[101.0, 20.1]",,,,,,,From Goal Kick,101.0,20.1,True,success_total,success_total,1,1,10,14,6,other_pattern,3,switch_of_play,1,GR-CB's,LW,0,0
4005039,41,Famalicão,1,1,0f767b97-a165-55ce-86ad-b959a0a91a0d,552,14,2,1.139,Justin de Haas,21721.0,Left Center Back,Pass,"[5.6, 31.4]",5.6,31.4,"[3.8, 35.9]",,4.85,1.951303,Ground Pass,Goal Kick,,Lazar Carević,From Goal Kick,3.8,35.9,False,success_partial,success_partial,1,0,5,10,1,interior_exterior_same_side,1,interior_exterior_same_side,1,GR-CB's,LCB,1,1
4005039,41,Famalicão,1,2,3876a49a-08fb-5c62-a6c9-6b644cf67686,554,14,11,1.973,Lazar Carević,153293.0,Goalkeeper,Pass,"[14.0, 33.1]",14.0,33.1,"[22.3, 16.4]",,18.65,-1.109547,Ground Pass,,,Justin de Haas,From Goal Kick,22.3,16.4,False,success_partial,success_partial,1,0,5,10,1,interior_exterior_same_side,1,interior_exterior_same_side,1,GR-CB's,GK,1,1
4005039,41,Famalicão,1,3,73b2e477-f218-5eb0-8ef7-f280bc2e2a32,557,14,13,3.514,Justin de Haas,21721.0,Left Center Back,Carry,"[22.3, 16.4]",22.3,16.4,,"[40.6, 13.3]",,,,,,,From Goal Kick,40.6,13.3,True,success_partial,success_partial,1,0,5,10,1,interior_exterior_same_side,1,interior_exterior_same_side,1,GR-CB's,LCB,1,1
