big_pattern_to_60_name,success_partial,success_total,unsuccessful,total,freq_pct,success_partial_pct,success_total_pct,unsuccessful_pct,did_not_reach_reached_60_flag,reached_reached_60_flag,reached_reached_60_flag_pct
center_exit_pattern,8,10,16,34,10.2,23.5,29.4,47.1,24,10,29.4
interior_exterior_opposite_side,17,19,15,51,15.3,33.3,37.3,29.4,32,19,37.3
interior_exterior_same_side,27,50,52,129,38.6,20.9,38.8,40.3,79,50,38.8
other_pattern,4,7,15,26,7.8,15.4,26.9,57.7,19,7,26.9
outer_inner_exit,13,9,19,41,12.3,31.7,22.0,46.3,32,9,22.0
switch_of_play,14,32,7,53,15.9,26.4,60.4,13.2,21,32,60.4
