origin_position_11,destination_position_11,n_passes,window,pattern_name
LB,LW,5,to_40,switch_of_play
DM,LCB,5,to_40,switch_of_play
LCB,RCB,5,to_40,switch_of_play
LB,LW,5,to_40,other_pattern
RW,AM,5,to_40,interior_exterior_same_side
LCB,DM,5,to_40,interior_exterior_opposite_side
AM,RW,5,to_40,interior_exterior_same_side
RCB,LW,5,to_40,interior_exterior_opposite_side
DM,LCB,5,to_40,interior_exterior_same_side
LCB,DM,4,to_40,other_pattern
DM,AM,4,to_40,center_exit_pattern
GK,RCB,4,to_40,outer_inner_exit
LB,LCB,4,to_40,outer_inner_exit
GK,RB,4,to_40,interior_exterior_same_side
RB,RCB,4,to_40,interior_exterior_opposite_side
LB,LCB,4,to_40,interior_exterior_opposite_side
RCB,AM,4,to_40,center_exit_pattern
RCB,LCB,4,to_40,other_pattern
LB,CF,4,to_40,interior_exterior_same_side
LCB,LW,4,to_40,interior_exterior_same_side
RB,RCB,4,to_40,outer_inner_exit
RB,RW,4,to_40,outer_inner_exit
GK,DM,4,to_40,switch_of_play
LB,LCB,4,to_40,interior_exterior_same_side
DM,GK,4,to_40,interior_exterior_opposite_side
LB,LW,4,to_40,interior_exterior_opposite_side
GK,LCB,4,to_40,outer_inner_exit
AM,RB,4,to_40,interior_exterior_same_side
LCB,GK,4,to_40,outer_inner_exit
GK,RB,4,to_40,other_pattern
DM,GK,4,to_40,interior_exterior_same_side
GK,AM,3,to_40,outer_inner_exit
AM,DM,3,to_40,center_exit_pattern
RCB,CM,3,to_40,interior_exterior_same_side
LCB,CF,3,to_40,center_exit_pattern
RCB,LB,3,to_40,interior_exterior_opposite_side
RCB,DM,3,to_40,outer_inner_exit
DM,RW,3,to_40,interior_exterior_same_side
LW,DM,3,to_40,switch_of_play
RCB,AM,3,to_40,switch_of_play
LCB,LB,3,to_40,other_pattern
CF,DM,3,to_40,center_exit_pattern
GK,DM,3,to_40,other_pattern
RB,CF,3,to_40,outer_inner_exit
CF,LW,3,to_40,interior_exterior_same_side
RB,RW,3,to_40,interior_exterior_opposite_side
RB,RW,3,to_40,switch_of_play
RB,AM,3,to_40,interior_exterior_opposite_side
DM,RB,3,to_40,interior_exterior_opposite_side
DM,RB,3,to_40,switch_of_play
DM,LCB,3,to_40,interior_exterior_opposite_side
DM,RCB,3,to_40,interior_exterior_opposite_side
DM,CF,3,to_40,center_exit_pattern
RCB,RW,3,to_40,center_exit_pattern
RCB,CF,3,to_40,interior_exterior_opposite_side
RCB,CF,3,to_40,interior_exterior_same_side
RW,RB,3,to_40,interior_exterior_same_side
RCB,LCB,3,to_40,outer_inner_exit
DM,LCB,3,to_40,outer_inner_exit
LCB,DM,3,to_40,outer_inner_exit
LB,LCB,3,to_40,switch_of_play
DM,DM,2,to_40,other_pattern
AM,DM,2,to_40,outer_inner_exit
RW,AM,2,to_40,center_exit_pattern
RCB,RW,2,to_40,interior_exterior_opposite_side
LCB,RCB,2,to_40,outer_inner_exit
LCB,CM,2,to_40,center_exit_pattern
LW,DM,2,to_40,interior_exterior_same_side
LCB,CF,2,to_40,interior_exterior_opposite_side
GK,DM,2,to_40,outer_inner_exit
DM,RCB,2,to_40,outer_inner_exit
AM,RB,2,to_40,switch_of_play
GK,RB,2,to_40,center_exit_pattern
CM,CF,2,to_40,interior_exterior_same_side
DM,LCB,2,to_40,other_pattern
LCB,CF,2,to_40,other_pattern
RW,AM,2,to_40,outer_inner_exit
LB,CF,2,to_40,other_pattern
CF,LW,2,to_40,other_pattern
DM,LW,2,to_40,center_exit_pattern
RCB,CF,2,to_40,outer_inner_exit
DM,DM,2,to_40,center_exit_pattern
LCB,RB,2,to_40,interior_exterior_same_side
RB,AM,2,to_40,outer_inner_exit
RB,CF,2,to_40,interior_exterior_same_side
RB,RCB,2,to_40,interior_exterior_same_side
AM,DM,2,to_40,interior_exterior_same_side
DM,RW,2,to_40,switch_of_play
RCB,DM,2,to_40,switch_of_play
RW,LW,2,to_40,switch_of_play
LB,CF,2,to_40,outer_inner_exit
LW,CF,2,to_40,interior_exterior_same_side
AM,RB,2,to_40,interior_exterior_opposite_side
RW,DM,2,to_40,outer_inner_exit
DM,AM,2,to_40,outer_inner_exit
CF,LW,2,to_40,interior_exterior_opposite_side
CF,AM,2,to_40,interior_exterior_same_side
DM,GK,2,to_40,center_exit_pattern
RB,CM,2,to_40,outer_inner_exit
CM,CF,2,to_40,outer_inner_exit
CM,RB,2,to_40,interior_exterior_opposite_side
GK,LB,2,to_40,interior_exterior_same_side
LCB,LW,2,to_40,outer_inner_exit
LW,LCB,2,to_40,outer_inner_exit
AM,RW,2,to_40,switch_of_play
DM,RCB,2,to_40,switch_of_play
