match_id,loss_possession,next_possession,n_shots,shot_occurred,entry_last_third,shot_10_15,progression,transition_speed,shot_rate
4005039,41,42,0,0,0,0,0,0.0,0
4005039,42,43,0,0,0,0,6,2.0666666666666678,0
4005039,84,85,0,0,0,0,12,1.0333333333333334,0
4005039,121,122,0,0,0,0,32,3.5222222222222217,0
4005050,21,22,0,0,0,0,0,0.0,0
4005050,29,30,0,0,0,0,0,0.0,0
4005050,45,46,0,0,0,0,-16,-7.999999999999999,0
4005050,61,62,0,0,0,0,75,5.761538461538462,0
4005050,101,102,0,0,0,0,49,6.0875,0
4005050,110,111,0,0,0,0,0,0.0,0
4005050,123,124,0,0,0,0,0,0.125,0
4005050,128,129,0,0,1,0,13,2.580000000000001,0
4005050,140,141,0,0,0,0,48,3.9666666666666663,0
4005050,150,151,0,0,0,0,33,5.533333333333332,0
4005050,157,158,0,0,1,0,46,7.616666666666667,0
4005050,186,187,0,0,0,0,71,5.95,0
4005739,26,27,0,0,1,0,39,7.879999999999998,0
4005739,37,38,0,0,0,0,-16,-1.4272727272727272,0
4005739,61,62,0,0,0,0,0,0.0,0
4005739,79,80,0,0,0,0,25,12.5,0
4005739,87,88,0,0,0,0,0,0.0,0
4005739,101,102,0,0,0,0,0,0.033333333333333805,0
4005739,123,124,0,0,1,0,48,4.409090909090909,0
4005739,138,139,0,0,0,0,0,0.0,0
4005739,153,154,0,0,0,0,3,1.3000000000000043,0
4005739,159,160,0,0,1,0,31,4.414285714285714,0
4005739,211,212,0,0,0,0,40,2.8428571428571425,0
4005739,213,214,0,0,0,0,0,0.0,0
4005739,230,231,0,0,0,0,0,0.0,0
4005745,28,29,0,0,0,0,6,0.8000000000000007,0
4005745,31,32,0,0,0,0,0,0.0,0
4005745,77,78,0,0,0,0,16,1.65,0
4005745,165,166,0,0,1,0,12,5.75,0
4005745,176,177,0,0,0,0,-26,-5.279999999999999,0
4005753,29,30,0,0,0,0,0,0.0,0
4005753,33,34,0,0,0,0,-2,-0.733333333333332,0
4005753,69,70,5,0,1,0,-6,-3.1499999999999986,0
4005753,165,166,0,0,1,0,6,1.1600000000000024,0
4005769,17,18,0,0,0,0,0,0.0,0
4005769,69,70,0,0,0,0,0,0.0,0
4005769,112,113,0,0,0,0,0,0.0,0
4005769,123,124,0,0,0,0,0,0.0,0
4005769,124,125,0,0,0,0,7,0.6636363636363634,0
4005769,145,146,0,0,1,0,18,6.1333333333333355,0
4005769,151,152,0,0,0,0,0,0.0,0
4005769,176,177,0,0,0,0,14,1.9571428571428566,0
4005769,237,238,0,0,1,0,88,5.886666666666667,0
4005776,18,19,0,0,0,0,15,14.799999999999997,0
4005776,47,48,0,0,0,0,-9,-0.676923076923077,0
4005776,75,76,0,0,0,0,6,5.5,0
4005776,159,160,0,0,0,0,3,0.2818181818181813,0
4005780,33,34,0,0,0,0,-47,-3.1599999999999997,0
4005780,48,49,0,0,1,0,-26,-26.000000000000007,0
4005780,85,86,0,0,0,0,34,8.45,0
4005780,96,97,0,0,0,0,-1,0.0,0
4005780,104,105,0,0,0,0,0,0.0,0
4005780,107,108,0,0,0,0,0,0.0,0
4005780,132,133,6,0,1,0,31,7.800000000000001,0
4005792,21,22,0,0,0,0,0,0.0,0
4005792,58,59,0,0,0,0,0,0.0,0
4005792,69,70,0,0,0,0,0,0.0,0
4005792,91,92,0,0,0,0,-10,-0.9090909090909091,0
4005792,93,94,0,0,0,0,0,0.0,0
4005792,103,104,0,0,0,0,3,3.0,0
4005792,152,153,0,0,1,0,42,5.262500000000001,0
4005792,167,168,0,0,0,0,-4,-0.5142857142857145,0
4005803,7,8,0,0,1,0,1,0.6499999999999986,0
4005803,23,24,0,0,0,0,0,0.0,0
4005803,31,32,0,0,0,0,7,0.7300000000000001,0
4005803,35,36,0,0,1,0,61,6.1,0
4005803,45,46,0,0,0,0,0,0.0,0
4005803,92,93,0,0,0,0,37,2.466666666666667,0
4005803,143,144,0,0,0,0,14,2.042857142857143,0
4005803,152,153,0,0,0,0,0,0.0,0
4005803,167,168,0,0,0,0,5,4.799999999999997,0
4005812,3,4,0,0,1,0,49,4.91,0
4005812,62,63,0,0,0,0,2,2.1999999999999886,0
4005812,72,73,0,0,0,0,0,0.0,0
4005812,86,87,0,0,1,0,12,3.099999999999998,0
4005812,104,105,0,0,0,0,-13,-0.8933333333333338,0
4005812,138,139,0,0,0,0,0,0.0,0
