match_id,loss_possession,next_possession,n_shots,shot_occurred,entry_last_third,shot_10_15,progression,transition_speed,shot_rate
4005920,167,168,0,0,0,0,0,,0
4005920,169,170,0,0,1,0,15,,0
4005920,175,176,0,0,0,0,15,,0
4005920,193,194,0,0,0,0,15,,0
4005926,12,13,0,0,0,0,0,,0
4005926,55,56,0,0,0,0,34,,0
4005926,73,74,0,0,0,0,0,,0
4005926,183,184,0,0,1,0,71,,0
4005938,10,11,1,1,0,0,8,1.0,1
4005938,44,45,0,0,0,0,17,,0
4005938,103,104,0,0,0,0,0,,0
4005938,149,150,0,0,1,0,14,,0
4005941,76,77,0,0,1,0,51,,0
4005941,87,88,0,0,0,0,51,,0
4005941,126,127,0,0,1,0,12,,0
4005941,161,162,0,0,0,0,9,,0
4005941,172,173,0,0,0,0,24,,0
4005951,48,49,0,0,0,0,24,,0
4005951,128,129,0,0,0,0,24,,0
4005951,138,139,0,0,0,0,23,,0
4005951,155,156,0,0,1,0,34,,0
4005951,172,173,0,0,0,0,26,,0
4005951,184,185,0,0,1,0,28,,0
