match_id,possession,first_event_id,first_event_index,first_player,first_position,first_start_x,first_end_x,n_actions_in_possession,n_distinct_players,validated_success_partial,validated_success_total,success_partial_start_action_number,success_partial_end_action_number,success_total_start_action_number,success_total_end_action_number,outcome_label
4005912,83,a77cd373-e1cc-43fa-9530-64035b560669,1183,Lazar Carević,Goalkeeper,4.5,5.2,4,4,False,False,,,,,unsuccessful
4005912,121,74c40aac-fea1-4458-8e7c-44d94ad5271e,1833,Lazar Carević,Goalkeeper,10.1,14.6,12,5,True,True,3.0,5.0,3.0,5.0,success_total
4005912,157,98205513-b9cd-41b4-851f-b2934a67a082,2428,Ibrahima Ba,Right Center Back,20.7,23.8,9,5,False,False,,,,,unsuccessful
4005912,200,938321ed-2dfe-41e0-b0ed-f31f8d077ecd,3002,Justin de Haas,Left Center Back,35.5,35.5,5,3,True,False,3.0,5.0,,,success_partial
4005912,228,7bc9bb7f-73e1-4656-9727-ba81eb596975,3305,Lazar Carević,Goalkeeper,3.5,4.0,4,3,False,False,,,,,unsuccessful
4005920,4,345d9790-d53e-4cf3-8895-d2a5c156d8e1,29,Ibrahima Ba,Right Center Back,5.7,11.8,11,5,True,False,9.0,11.0,,,success_partial
4005920,23,a3bfcb2d-1eb3-4cdb-aeb5-f0d622b62572,248,Lazar Carević,Goalkeeper,5.5,16.2,9,5,True,False,6.0,8.0,,,success_partial
4005920,36,c04d848f-ed6d-4660-a22a-4fe921fdff56,445,Ibrahima Ba,Right Center Back,34.7,34.8,15,5,True,True,2.0,4.0,6.0,8.0,success_total
4005920,43,3d01a458-7eab-48a5-a451-9abc8dd4ffff,546,Lazar Carević,Goalkeeper,21.8,30.0,17,6,True,True,4.0,6.0,10.0,12.0,success_total
4005920,47,a99e8d87-939c-4262-b092-18aa8979e9ba,627,Lazar Carević,Goalkeeper,5.2,15.0,11,7,True,True,4.0,6.0,9.0,11.0,success_total
4005920,53,50463cc3-ca29-4d7e-859a-f6d099946313,718,Lazar Carević,Goalkeeper,26.0,34.8,18,8,True,True,2.0,4.0,3.0,5.0,success_total
4005920,57,f4db8137-3724-49b4-a06b-976eac1ef965,769,Ibrahima Ba,Right Center Back,13.5,11.3,38,8,True,True,5.0,7.0,11.0,13.0,success_total
4005920,97,23e36d0d-cfda-43f6-b4c7-faaf9a4ce201,1227,Justin de Haas,Left Center Back,36.3,35.8,15,6,True,False,2.0,4.0,,,success_partial
